epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,153.694,0.73184,0.68034,1.03746,0.81891,0.781,0.8095,0.60593,0.78913,0.77314,0.99582,0.000272224,0.000272224,0.000272224
70,155.925,0.73154,0.66836,1.03062,0.77261,0.78787,0.80875,0.60741,0.77214,0.76363,0.98569,0.000263978,0.000263978,0.000263978
71,158.109,0.72165,0.68306,1.02878,0.72669,0.81342,0.80708,0.61095,0.76654,0.77338,0.97842,0.000255731,0.000255731,0.000255731
72,160.298,0.7362,0.67118,1.04614,0.76367,0.79262,0.8035,0.60079,0.76503,0.79372,0.98057,0.000247484,0.000247484,0.000247484
73,162.498,0.7199,0.66816,1.03815,0.7907,0.75622,0.80753,0.6044,0.76152,0.78252,0.97966,0.000239238,0.000239238,0.000239238
74,164.699,0.70502,0.64565,1.00723,0.82571,0.75196,0.80761,0.60028,0.77259,0.78209,0.99038,0.000230991,0.000230991,0.000230991
75,166.902,0.68611,0.64474,1.01499,0.77203,0.78558,0.80038,0.60072,0.7715,0.80116,0.99263,0.000222744,0.000222744,0.000222744
76,169.109,0.70173,0.65196,1.02011,0.77028,0.80486,0.80245,0.6023,0.78847,0.84144,1.01069,0.000214497,0.000214497,0.000214497
77,171.271,0.70388,0.64005,1.01428,0.78323,0.79091,0.80812,0.61343,0.79234,0.83532,1.01451,0.000206251,0.000206251,0.000206251
78,173.499,0.71107,0.65746,1.01429,0.78841,0.8034,0.81834,0.61269,0.77883,0.8276,1.00614,0.000198004,0.000198004,0.000198004
79,175.695,0.71254,0.63876,1.01867,0.79549,0.79997,0.82709,0.61543,0.79032,0.81582,1.01049,0.000189757,0.000189757,0.000189757
80,177.931,0.68941,0.63191,1.00869,0.76686,0.83798,0.83236,0.61997,0.78119,0.78195,1.00167,0.000181511,0.000181511,0.000181511
81,180.113,0.68461,0.6222,1.01644,0.761,0.82645,0.82886,0.6229,0.76961,0.77046,0.99168,0.000173264,0.000173264,0.000173264
82,182.331,0.7026,0.64761,1.01232,0.74059,0.81528,0.81541,0.62743,0.77546,0.76858,0.99662,0.000165017,0.000165017,0.000165017
83,184.494,0.69158,0.61675,1.01887,0.77068,0.79451,0.8101,0.61891,0.76432,0.76885,0.99204,0.000156771,0.000156771,0.000156771
84,186.701,0.68032,0.63454,1.00163,0.75471,0.83759,0.80932,0.61429,0.7667,0.78538,0.99083,0.000148524,0.000148524,0.000148524
85,188.892,0.68848,0.62911,1.00759,0.75232,0.83552,0.80984,0.61449,0.7699,0.78264,0.99227,0.000140277,0.000140277,0.000140277
86,191.092,0.69902,0.63571,1.00443,0.76926,0.79879,0.81272,0.61933,0.77136,0.77399,0.99779,0.000132031,0.000132031,0.000132031
87,193.263,0.67341,0.5972,0.9952,0.77429,0.81939,0.81297,0.62005,0.76794,0.76708,0.99337,0.000123784,0.000123784,0.000123784
88,195.479,0.67917,0.61843,1.0051,0.78719,0.82231,0.81765,0.62508,0.76149,0.75804,0.99136,0.000115537,0.000115537,0.000115537
89,197.709,0.67395,0.60749,1.00553,0.80342,0.80594,0.8163,0.62612,0.76828,0.75745,0.98823,0.00010729,0.00010729,0.00010729
90,199.913,0.6849,0.61136,1.02917,0.82349,0.79654,0.81416,0.62063,0.77021,0.75077,0.9885,9.90437e-05,9.90437e-05,9.90437e-05
91,202.678,0.63594,0.8806,1.01733,0.82523,0.80097,0.81653,0.6236,0.76667,0.75286,0.9875,9.0797e-05,9.0797e-05,9.0797e-05
92,204.816,0.63465,0.7461,1.01271,0.82656,0.79019,0.81739,0.61398,0.77363,0.79665,0.99226,8.25503e-05,8.25503e-05,8.25503e-05
93,206.936,0.65201,0.72809,1.02787,0.81999,0.78576,0.81632,0.60622,0.77608,0.82758,0.9956,7.43036e-05,7.43036e-05,7.43036e-05
94,209.055,0.62376,0.69254,1.01537,0.82027,0.7814,0.81028,0.60629,0.77116,0.81666,0.99177,6.60569e-05,6.60569e-05,6.60569e-05
95,211.15,0.6301,0.68824,1.01427,0.8441,0.77735,0.81069,0.61013,0.77214,0.80759,0.99007,5.78102e-05,5.78102e-05,5.78102e-05
96,213.271,0.60184,0.6741,0.99983,0.82729,0.77673,0.81258,0.61597,0.76832,0.79172,0.98772,4.95635e-05,4.95635e-05,4.95635e-05
97,215.37,0.62599,0.67542,1.011,0.81196,0.79083,0.81491,0.6217,0.76368,0.79212,0.98759,4.13168e-05,4.13168e-05,4.13168e-05
98,217.519,0.6141,0.67969,1.00632,0.81216,0.78784,0.8133,0.6195,0.76732,0.79298,0.99017,3.30701e-05,3.30701e-05,3.30701e-05
99,219.647,0.617,0.64253,0.98996,0.81043,0.79238,0.81151,0.62,0.76578,0.79118,0.99003,2.48234e-05,2.48234e-05,2.48234e-05
100,221.786,0.58292,0.64151,0.98474,0.81106,0.79105,0.81091,0.62246,0.76154,0.78622,0.98811,1.65767e-05,1.65767e-05,1.65767e-05
